region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
      пгт Осинки;3127;1457;1670;46,6;53,4
    Сельское население;16523;7791;8732;47,2;52,8
  Богатовский район - сельское население;15565;7228;8337;46,4;53,6
      с. Богатое (рц);6441;2968;3473;46,1;53,9
      прочие сельские населенные пункты;9124;4260;4864;46,7;53,3
  Большеглушицкий район - сельское население;21626;10344;11282;47,8;52,2
      с. Большая Глушица (рц);10133;4766;5367;47;53
      прочие сельские населенные пункты;11493;5578;5915;48,5;51,5
  Большечерниговский район - сельское население;20766;9774;10992;47,1;52,9
      с. Большая Черниговка (рц);6318;2885;3433;45,7;54,3
      прочие сельские населенные пункты;14448;6889;7559;47,7;52,3
  Борский район - сельское население;24743;11437;13306;46,2;53,8
      с. Борское (рц);9190;4238;4952;46,1;53,9
      прочие сельские населенные пункты;15553;7199;8354;46,3;53,7
  Волжский район ;77621;39882;37739;51,4;48,6
    Городское население;32382;17263;15119;53,3;46,7
      пгт Петра Дубрава;6125;2797;3328;45,7;54,3
      пгт Рощинский;12878;8297;4581;64,4;35,6
      пгт Смышляевка;5954;2790;3164;46,9;53,1
      пгт Стройкерамика;7425;3379;4046;45,5;54,5
    Сельское население;45239;22619;22620;50;50
      с. Дубовый Умет;3129;1492;1637;47,7;52,3
      с. Курумоч;6493;3009;3484;46,3;53,7
      с. Рождествено;5043;2110;2933;41,8;58,2
      с. Спиридоновка;4421;3772;649;85,3;14,7
      прочие сельские населенные пункты;26153;12236;13917;46,8;53,2
  Елховский район - сельское население;10187;4857;5330;47,7;52,3
      с. Елховка (рц);3166;1537;1629;48,5;51,5
      прочие сельские населенные пункты;7021;3320;3701;47,3;52,7
  Исаклинский район - сельское население;14733;7061;7672;47,9;52,1
      с. Исаклы (рц);4451;2056;2395;46,2;53,8
      прочие сельские населенные пункты;10282;5005;5277;48,7;51,3
  Камышлинский район - сельское население;11868;5628;6240;47,4;52,6
      с. Камышла (рц);4826;2299;2527;47,6;52,4
      прочие сельские населенные пункты;7042;3329;3713;47,3;52,7
  Кинельский район - сельское население;30484;14457;16027;47,4;52,6
      с. Георгиевка;3666;1664;2002;45,4;54,6
      п. Комсомольский;3223;1519;1704;47,1;52,9
      прочие сельские населенные пункты;23595;11274;12321;47,8;52,2
  Кинель-Черкасский район ;48922;22815;26107;46,6;53,4
    Городское население;6087;2748;3339;45,1;54,9
      пгт Первомайский;447;194;253;43,4;56,6
      пгт Тимашево;5640;2554;3086;45,3;54,7
    Сельское население;42835;20067;22768;46,8;53,2
      с. Кинель-Черкассы (рц);18536;8682;9854;46,8;53,2
      с. Кротовка;5440;2518;2922;46,3;53,7
      прочие сельские населенные пункты;18859;8867;9992;47;53
  Клявлинский район - сельское население;16437;7795;8642;47,4;52,6
      ж-д ст. Клявлино (рц);6367;2947;3420;46,3;53,7
      прочие сельские населенные пункты;10070;4848;5222;48,1;51,9
  Кошкинский район - сельское население;25239;12154;13085;48,2;51,8
      с. Кошки (рц);8149;3910;4239;48;52
      прочие сельские населенные пункты;17090;8244;8846;48,2;51,8
  Красноармейский район - сельское население;19211;9076;10135;47,2;52,8
      с. Красноармейское (рц);5445;2595;2850;47,7;52,3
      прочие сельские населенные пункты;13766;6481;7285;47,1;52,9
  Красноярский район ;55027;26600;28427;48,3;51,7
    Городское население;24267;12413;11854;51,2;48,8
      пгт Волжский;7095;4395;2700;61,9;38,1
      пгт Мирный;7451;3542;3909;47,5;52,5
      пгт Новосемейкино;9721;4476;5245;46;54
    Сельское население;30760;14187;16573;46,1;53,9
      с. Красный Яр (рц);7724;3539;4185;45,8;54,2
      с. Новый Буян;3535;1602;1933;45,3;54,7
      прочие сельские населенные пункты;19501;9046;10455;46,4;53,6
  Нефтегорский район;32246;15016;17230;46,6;53,4
    Городское население - г. Нефтегорск (рц);19388;8949;10439;46,2;53,8
    Сельское население;12858;6067;6791;47,2;52,8
      с. Утевка;4591;2146;2445;46,7;53,3
      прочие сельские населенные пункты;8267;3921;4346;47,4;52,6
  Пестравский район - сельское население;18340;8898;9442;48,5;51,5
      с. Пестравка (рц);6675;3200;3475;47,9;52,1
      прочие сельские населенные пункты;11665;5698;5967;48,8;51,2
  Похвистневский район - сельское население;30180;14281;15899;47,3;52,7
      с. Подбельск;3417;1569;1848;45,9;54,1
      прочие сельские населенные пункты;26763;12712;14051;47,5;52,5
  Приволжский район - сельское население;24552;11549;13003;47;53
      с. Приволжье (рц);7481;3459;4022;46,2;53,8
      с. Обшаровка;5712;2604;3108;45,6;54,4
      прочие сельские населенные пункты;11359;5486;5873;48,3;51,7
  Сергиевский район ;48976;22967;26009;46,9;53,1
    Городское население - пгт Суходол;14407;6692;7715;46,4;53,6
    Сельское население;34569;16275;18294;47,1;52,9
      с. Сергиевск (рц);8282;3823;4459;46,2;53,8
      п. Серноводск;3598;1665;1933;46,3;53,7
      п. Сургут;4736;2225;2511;47;53
      прочие сельские населенные пункты;17953;8562;9391;47,7;52,3
  Ставропольский район - сельское население;45167;21311;23856;47,2;52,8
      с. Подстепки;3164;1509;1655;47,7;52,3
      с. Хрящевка;3235;1530;1705;47,3;52,7
      прочие сельские населенные пункты;38768;18272;20496;47,1;52,9
  Сызранский район ;23964;11203;12761;46,7;53,3
    Городское население - пгт Балашейка;3104;1419;1685;45,7;54,3
    Сельское население;20860;9784;11076;46,9;53,1
